Date,User_ID,Subscription_Type,Country,Watch_Hours,Genre,Device_Type,Monthly_Fee,Rating_Given,Renewed
2024-01-01,U1000,Premium,Australia,7.7,Drama,Tablet,649,1,Yes
2024-01-02,U1001,Premium,Australia,4.65,Drama,Laptop,199,5,Yes
2024-01-03,U1002,Premium,India,7.87,Drama,Laptop,199,5,Yes
2024-01-04,U1003,Standard,Canada,0.72,Romance,Tablet,499,5,Yes
2024-01-05,U1004,Basic,USA,0.72,Drama,Tablet,199,2,No
2024-01-06,U1005,Standard,USA,6.14,Thriller,Laptop,499,4,No
2024-01-07,U1006,Basic,India,1.72,Romance,Mobile,499,2,No
2024-01-08,U1007,Standard,Canada,1.01,Drama,TV,649,5,No
2024-01-09,U1008,Basic,USA,6.76,Drama,Laptop,199,1,No
2024-01-10,U1009,Premium,UK,2.82,Romance,TV,499,3,Yes
2024-01-11,U1010,Premium,Canada,2.52,Romance,TV,199,5,Yes
2024-01-12,U1011,Premium,USA,0.55,Action,Mobile,199,2,No
2024-01-13,U1012,Premium,UK,6.23,Drama,Mobile,649,2,No
2024-01-14,U1013,Basic,USA,4.7,Thriller,Laptop,199,5,No
2024-01-15,U1014,Basic,Canada,1.31,Sci-Fi,Tablet,649,3,Yes
2024-01-16,U1015,Standard,UK,0.73,Romance,Laptop,499,1,No
2024-01-17,U1016,Basic,UK,6.97,Comedy,Mobile,199,1,Yes
2024-01-18,U1017,Standard,Australia,4.78,Action,Mobile,649,3,No
2024-01-19,U1018,Premium,Australia,1.93,Romance,Mobile,649,4,No
2024-01-20,U1019,Standard,Australia,2.06,Thriller,Laptop,649,1,No
2024-01-21,U1020,Basic,Canada,7.58,Thriller,Laptop,499,3,No
2024-01-22,U1021,Standard,UK,0.92,Action,Mobile,199,4,Yes
2024-01-23,U1022,Basic,USA,1.56,Sci-Fi,TV,199,4,Yes
2024-01-24,U1023,Basic,USA,0.64,Comedy,Tablet,499,1,Yes
2024-01-25,U1024,Basic,UK,7.62,Drama,Tablet,499,4,No
2024-01-26,U1025,Standard,UK,2.44,Drama,Mobile,649,2,No
2024-01-27,U1026,Basic,USA,0.81,Sci-Fi,Tablet,499,4,Yes
2024-01-28,U1027,Standard,Australia,1.74,Action,Laptop,499,5,Yes
2024-01-29,U1028,Standard,India,2.76,Romance,Mobile,649,5,Yes
2024-01-30,U1029,Standard,Australia,5.94,Comedy,TV,649,2,No
2024-01-31,U1030,Standard,UK,1.94,Drama,Tablet,199,4,No
2024-02-01,U1031,Premium,India,0.93,Thriller,TV,199,4,No
2024-02-02,U1032,Standard,India,6.87,Romance,Tablet,499,2,Yes
2024-02-03,U1033,Premium,Australia,3.56,Thriller,Mobile,199,5,Yes
2024-02-04,U1034,Basic,Canada,3.37,Sci-Fi,Mobile,199,2,Yes
2024-02-05,U1035,Basic,India,3.44,Action,Laptop,199,4,No
2024-02-06,U1036,Basic,Australia,7.37,Sci-Fi,TV,499,1,No
2024-02-07,U1037,Standard,UK,3.86,Comedy,Laptop,649,2,Yes
2024-02-08,U1038,Premium,USA,2.97,Thriller,Mobile,199,2,Yes
2024-02-09,U1039,Premium,USA,1.11,Thriller,Tablet,199,3,Yes
2024-02-10,U1040,Premium,USA,4.05,Sci-Fi,Mobile,649,3,No
2024-02-11,U1041,Premium,USA,7.73,Sci-Fi,TV,499,1,No
2024-02-12,U1042,Standard,UK,7.81,Sci-Fi,Mobile,499,5,No
2024-02-13,U1043,Basic,UK,1.82,Action,Mobile,499,3,Yes
2024-02-14,U1044,Basic,India,6.87,Comedy,Tablet,649,2,No
2024-02-15,U1045,Standard,Australia,7.37,Action,Tablet,499,2,Yes
2024-02-16,U1046,Standard,Canada,5.19,Action,Tablet,499,1,Yes
2024-02-17,U1047,Premium,UK,4.63,Sci-Fi,Tablet,649,1,Yes
2024-02-18,U1048,Standard,Canada,5.07,Romance,TV,199,3,No
2024-02-19,U1049,Standard,India,2.41,Drama,Laptop,199,4,Yes
2024-02-20,U1050,Standard,India,7.56,Comedy,TV,499,5,No
2024-02-21,U1051,Basic,USA,6.05,Comedy,Laptop,649,1,Yes
2024-02-22,U1052,Basic,USA,1.11,Romance,TV,499,2,No
2024-02-23,U1053,Premium,India,5.69,Action,Tablet,499,4,Yes
2024-02-24,U1054,Standard,USA,6.59,Thriller,Tablet,649,5,Yes
2024-02-25,U1055,Basic,Canada,3.54,Romance,Laptop,649,5,Yes
